StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
surrenderhs,1355,4441,Hearthstone,1261,6318,103016,Hearthstone,1261,6318,103016,Hearthstone,1261,6318,103016
orhae,240,14620,IRL,160,778,72135,Just Chatting,224,1663,27748,A Way Out,353,485,325
funzinnu,754,4721,PLAYERUNKNOWN'S BATTLEGROUNDS,545,2409,43016,PLAYERUNKNOWN'S BATTLEGROUNDS,545,2409,43016,Terraria,1193,1266,110
drlee_kor,261,20868,League of Legends,182,868,58093,Overwatch,324,2819,48449,Dark Souls II,587,1340,130
njlyon12,287,10830,Overwatch,99,937,40000,Overwatch,99,937,40000,Hearthstone,330,355,55
flusterff,138,7530,Lost Ark Online,185,2083,18405,Lost Ark Online,185,2083,18405,Lost Ark Online,185,2083,18405
rnlghs128,268,12530,Dead by Daylight,121,1426,91298,Dead by Daylight,121,1426,91298,Just Chatting,164,234,83
baedony,223,12965,IRL,144,737,34426,IRL,144,737,34426,BlazBlue: Chrono Phantasma,272,338,90
hwkang2,631,4361,League of Legends,885,7602,66272,League of Legends,885,7602,66272,Hearthstone,1905,6979,1898
falgwang,327,10310,World of Warcraft,231,3730,192041,World of Warcraft,231,3730,192041,Just Chatting,349,556,575
coppag2,205,13396,PLAYERUNKNOWN'S BATTLEGROUNDS,97,1140,86413,Just Chatting,212,1461,17004,Miracle Snack Shop,360,935,440
fissure_ow,392,9707,Overwatch,541,4594,53591,Overwatch,541,4594,53591,"Papers, Please",573,847,285
nrmtzv,206,6422,Talk Shows &amp; Podcasts,140,555,141394,E3 2018,565,904,1170,E3 2018,565,904,1170
smartcrow,168,19701,Talk Shows &amp; Podcasts,60,698,48365,Diablo II: Lord of Destruction,94,1646,8977,They Are Billions,224,1577,12857
suvely0227,367,9769,Overwatch,197,2196,31818,Unknown,829,4178,1326,Unknown,829,4178,1326
rockid1818,235,12736,IRL,113,1273,48678,IRL,113,1273,48678,Kartrider,410,466,150
rbhr,141,26384,Monster Hunter World,170,706,211528,Lost Ark Online,147,854,58225,Monster Hunter World,170,706,211528
naal89,155,16959,Girls Frontline,48,380,73675,Girls Frontline,48,380,73675,Tekken 7,250,327,455
