StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
ch1ckenkun,413,5578,Overwatch,813,3148,63457,PLAYERUNKNOWN'S BATTLEGROUNDS,1010,8917,57978,Minecraft,1449,8423,16379
nanajam777,1427,9282,IRL,1316,5911,27690,IRL,1316,5911,27690,Kartrider,2945,2945,10
ses836,951,11499,League of Legends,964,3843,154597,League of Legends,964,3843,154597,Destiny Child,1211,1398,40
wlswnwlswn,781,14557,IRL,236,1773,58383,Just Chatting,692,2521,26594,Metro 2033,1535,1709,20
tvcrank,1039,12826,StarCraft II,913,5307,169567,StarCraft II,913,5307,169567,Senran Kagura: Shinovi Versus,2204,4070,250
kumikomii,1186,13396,IRL,397,1889,81878,Just Chatting,1104,3665,23367,Kartrider,2546,2846,150
bighead033,654,15115,Overwatch,613,2293,126784,PLAYERUNKNOWN'S BATTLEGROUNDS,795,7091,116709,No More Room In Hell,1189,1232,20
dlxowns45,1529,7699,PLAYERUNKNOWN'S BATTLEGROUNDS,1592,9526,97085,Overwatch,2638,16327,86417,Overwatch,2638,16327,86417
dawnhs,1554,7888,Hearthstone,1694,10527,146904,Hearthstone,1694,10527,146904,Home Sweet Home,2951,3495,250
flowervin,1806,5419,IRL,1928,11800,34982,Overwatch,3269,39278,14612,Getting Over It,4604,8213,270
rkdwl12,1352,9583,IRL,262,2400,65618,Just Chatting,1379,4586,18801,Kartrider,2373,3749,170
pjs9073,1002,11185,IRL,307,9716,64741,IRL,307,9716,64741,Kartrider,1717,1975,195
nicegametv,456,22722,League of Legends,603,5016,361292,PLAYERUNKNOWN'S BATTLEGROUNDS,503,8469,22057,Just Dance 2015,1552,1808,190
collet11,1253,9348,PLAYERUNKNOWN'S BATTLEGROUNDS,425,3569,81393,Just Chatting,1340,33314,10029,Getting Over It,1883,2811,569
s1032204,1093,9856,IRL,380,2497,47795,Just Chatting,1283,5002,13743,Kartrider,2970,3620,130
pparkshy,1843,5276,League of Legends,1404,5891,37778,League of Legends,1404,5891,37778,Just Chatting,2315,5391,932
dragon3652,396,26170,Monster Hunter World,398,1969,156385,Lost Ark Online,395,2012,55283,Just Chatting,541,711,135
mirage720,1401,7510,Overwatch,1630,74282,190150,Overwatch,1630,74282,190150,Resident Evil: Revelations 2,2095,2095,10
gabrielcro,1098,11793,PLAYERUNKNOWN'S BATTLEGROUNDS,1044,5244,140947,PLAYERUNKNOWN'S BATTLEGROUNDS,1044,5244,140947,IRL,1642,4280,793
h920103,884,8713,League of Legends,333,5716,71007,League of Legends,333,5716,71007,Miracle Snack Shop,1632,3019,495
hn950421,893,8669,IRL,1833,13681,34983,IRL,1833,13681,34983,The First Tree,1946,2209,49
rooftopcat99,1493,6958,Heroes of the Storm,849,3702,35321,Hearthstone,1681,5920,29271,StarCraft II,3527,5194,2500
uzuhama,1821,7497,PLAYERUNKNOWN'S BATTLEGROUNDS,857,3586,147562,PLAYERUNKNOWN'S BATTLEGROUNDS,857,3586,147562,Angvik,1394,1481,150
kanetv8,1136,10711,IRL,340,11002,121690,IRL,340,11002,121690,Kartrider,1293,1680,440
sn400ja,950,8809,League of Legends,1030,7530,72590,IRL,1068,44211,24216,Unknown,2787,25880,1657
wkgml,1614,7083,IRL,1149,5970,80366,Just Chatting,2019,9484,12248,Travel &amp; Outdoors,8310,8516,26
pikra10,538,11612,League of Legends,751,2832,110100,League of Legends,751,2832,110100,League of Legends,751,2832,110100
dua3362,619,8934,IRL,807,7412,26561,Minecraft,2663,8995,1380,"1, 2, Switch",5221,5615,50
wpckor,481,17935,PLAYERUNKNOWN'S BATTLEGROUNDS,693,3302,167249,PLAYERUNKNOWN'S BATTLEGROUNDS,693,3302,167249,Tales Runner,935,997,70
remguri,206,14541,Tom Clancy's Rainbow Six: Siege,234,2333,148312,Minecraft,1147,3587,6190,Minecraft,1147,3587,6190
game2eye,2015,3070,IRL,2178,8488,40919,A Way Out,6455,9305,175,A Way Out,6455,9305,175
classboso,291,17848,Epic Seven,300,961,40620,Epic Seven,300,961,40620,Resident Evil 2 Remake (working title),485,580,50
h0270,1176,7143,PLAYERUNKNOWN'S BATTLEGROUNDS,1415,4885,126554,PLAYERUNKNOWN'S BATTLEGROUNDS,1415,4885,126554,PLAYERUNKNOWN'S BATTLEGROUNDS,1415,4885,126554
yoonroot,1206,4481,PLAYERUNKNOWN'S BATTLEGROUNDS,1975,10728,105023,PLAYERUNKNOWN'S BATTLEGROUNDS,1975,10728,105023,Getting Over It,3588,4792,235
beyou0728,839,10251,League of Legends,902,7618,104642,IRL,668,9158,36206,MapleStory,1464,5087,1292
hatsalsal,537,12352,IRL,413,1651,50431,Golfing Over It with Alva Majo,654,2011,1495,Kartrider,1138,1461,490
lol_madlife,1093,5089,League of Legends,1195,7824,79331,League of Legends,1195,7824,79331,Titan Souls,1908,2087,20
alstn9947,1013,6164,Kartrider,526,3545,72573,Games + Demos,503,6296,3606,Metal Slug X: Super Vehicle - 001,1559,1964,55
partingthebigboy,501,13844,StarCraft II,491,4702,114248,StarCraft II,491,4702,114248,StarCraft II,491,4702,114248
menpa1030,295,16654,PLAYERUNKNOWN'S BATTLEGROUNDS,715,8745,168693,PLAYERUNKNOWN'S BATTLEGROUNDS,715,8745,168693,Getting Over It,803,1459,675
erenjjing,1965,4470,IRL,1098,6134,75000,IRL,1098,6134,75000,Puyo Puyo Tetris,3250,3250,10
ca_ramel,872,6429,IRL,545,3745,64978,IRL,545,3745,64978,Eco,1755,2126,145
lol_khan,3462,2296,League of Legends,2687,9714,4472,League of Legends,2687,9714,4472,League of Legends,2687,9714,4472
redtea,642,14245,Hearthstone,912,5487,155031,Tekken 7,1057,7892,7071,Unknown,1597,3152,1945
kiyulking,510,12010,PLAYERUNKNOWN'S BATTLEGROUNDS,590,4788,207043,PLAYERUNKNOWN'S BATTLEGROUNDS,590,4788,207043,PLAYERUNKNOWN'S BATTLEGROUNDS,590,4788,207043
nodolly,575,10272,IRL,589,2459,60880,CLOP,1324,3170,440,Dungreed,1615,2322,780
www0606,1112,8233,IRL,516,8484,55848,IRL,516,8484,55848,Don't Starve Together,2011,3543,90
cwn222,291,14099,Total War: Warhammer II,379,1753,85119,Total War: Warhammer II,379,1753,85119,Total War: Warhammer II,379,1753,85119
rldnddl789,846,7235,Tekken 7,910,4413,75206,Tekken 7,910,4413,75206,Soulcalibur VI,983,1778,932
